system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000004,27,24,23,42,38,192,26,1,1300,19,-1256,-120,26,-30,-42,-1,-6,8,-14,430,18,-32,-15,-29,-64,-68,-3,14,-1106,-125,21,-36,-67,18,0,7,13.1114435,328.91666,0.14500111,85272.664,0.0077613336,119.833336,282.99,0.4513305,"{""type"":""Point"",""coordinates"":[108.69565371654,30.399662804006176]}"
1_00000000000000000016,37,34,34,49,44,201,36,1,67,13,175,-82,2,-12,-20,7,-8,0,-8,-95,43,-4,0,-12,-4,11,0,10,13,-72,0,0,-22,2,-1,0,2.1438625,366.83334,0.15416779,100554.0,0.010673334,138.5,290.86667,1.5906639,"{""type"":""Point"",""coordinates"":[111.4345272246886,30.53198662776719]}"
1_00000000000000000017,43,45,46,61,56,201,44,1,58,12,98,-84,19,-20,-15,15,-3,0,-9,-339,41,12,-11,-12,-6,28,1,8,-12,-65,15,-11,-18,14,-2,0,5.668667,366.83334,0.15416779,100554.0,0.010673334,138.5,290.86667,1.5906639,"{""type"":""Point"",""coordinates"":[111.46471087971936,30.391578453796278]}"
1_00000000000000000018,35,34,34,58,53,200,40,1,57,20,401,-127,15,-8,-32,28,-31,-1,-9,-28,81,15,-6,-12,-27,15,0,15,419,-101,13,-3,-28,16,-21,-1,4.3938417,365.41666,0.14833444,100728.0,0.010743001,141.41667,290.66666,1.9019972,"{""type"":""Point"",""coordinates"":[111.7110316219117,30.452752861148493]}"
1_0000000000000000001a,36,33,28,51,37,194,21,1,41,25,327,-157,-7,8,-102,78,-21,0,-10,-55,92,36,-30,5,-8,54,0,17,831,-138,-18,17,-84,61,-25,-3,1.4206052,365.33334,0.14583445,100886.664,0.010789,142.08333,290.65665,1.9993305,"{""type"":""Point"",""coordinates"":[111.92258475319034,30.49937722176334]}"
1_0000000000000000001e,29,26,23,53,34,197,22,1,33,28,489,-162,-15,25,-29,2,-18,-1,-16,-619,95,0,-44,5,5,38,2,23,669,-154,-18,23,-28,15,-14,-2,0.0,362.58334,0.14083445,100997.336,0.010468667,140.5,290.23334,2.290664,"{""type"":""Point"",""coordinates"":[112.6044035997675,30.442242759965534]}"
1_00000000000000000020,38,35,34,43,38,201,32,1,36,9,88,-55,-3,0,0,7,-20,0,-13,36,58,-11,-11,-2,23,20,0,7,44,-50,-10,-3,-1,3,-8,0,2.341145,363.91666,0.14416778,100977.336,0.010604001,139.08333,290.34998,2.1759973,"{""type"":""Point"",""coordinates"":[112.89033899571865,30.4152919531985]}"
1_00000000000000000022,30,27,23,46,34,194,21,1,32,23,-34,-123,-16,14,-30,9,-19,1,-18,43,86,-3,-13,-15,15,-9,-1,17,-105,-109,-32,-5,-24,-4,-16,1,1.0754625,365.0,0.15083446,100972.664,0.010706,138.25,290.46667,1.9126639,"{""type"":""Point"",""coordinates"":[113.16010123214897,30.42310875734519]}"
1_00000000000000000026,35,33,28,50,44,198,30,1,29,15,-463,-118,2,4,-43,45,-35,3,-13,-674,68,-6,-57,-35,-46,-9,3,11,-166,-105,-7,-3,-55,26,-18,1,0.0,363.5,0.15500112,101062.664,0.010737,146.5,290.62332,1.3173306,"{""type"":""Point"",""coordinates"":[113.79018112920296,30.55058107916005]}"
1_00000000000000000027,34,30,27,54,40,196,26,1,36,15,-408,-114,-11,16,-57,28,-18,3,-13,37,72,0,-36,-30,-29,-24,0,12,-319,-111,-17,-5,-66,18,-15,2,2.840159,364.25,0.15666778,101073.336,0.010791667,145.66667,290.66998,1.3799973,"{""type"":""Point"",""coordinates"":[113.81551328228761,30.540878075267756]}"
1_00000000000000000029,38,36,37,57,54,199,44,1,31,9,114,-67,-5,-11,-32,-2,-14,0,-8,-117,41,-9,-37,-26,-27,-47,0,7,81,-64,-12,-12,-41,1,-13,0,2.1519449,363.33334,0.16333444,101087.336,0.010727667,149.75,290.69998,1.1699972,"{""type"":""Point"",""coordinates"":[114.14941522827067,30.503689172482012]}"
1_0000000000000000002a,32,27,25,33,31,186,23,1,26,14,79,-131,4,16,-49,-6,-7,0,-15,156,64,12,-5,11,-10,-64,-1,10,126,-114,-7,8,-59,-10,-1,0,4.6273675,362.91666,0.17250112,101129.336,0.010575,149.58333,290.7033,1.2873305,"{""type"":""Point"",""coordinates"":[114.29305625050533,30.46865401550509]}"
1_0000000000000000002d,28,26,24,58,43,198,28,1,30,21,459,-143,-9,4,-75,28,0,-1,-14,-67,84,-2,-6,15,-11,-33,0,16,145,-119,-2,-10,-56,17,-14,0,1.8543341,363.25,0.18333444,101094.664,0.010425334,146.5,290.65665,1.7059972,"{""type"":""Point"",""coordinates"":[114.74904392423072,30.505303367063362]}"
1_00000000000000000041,36,31,29,33,28,195,23,1,66,5,-40,-59,1,-2,-10,-4,8,0,-8,-302,21,-12,-9,-7,-2,18,1,4,53,-56,1,3,-13,-7,6,0,9.308376,366.5,0.15083444,100572.0,0.010726667,139.0,290.81332,1.5093305,"{""type"":""Point"",""coordinates"":[111.31541125824789,30.677241844583186]}"
