Year,In_Bands,Tree,Accuracy
1990_1992,Spectrum,1,0.9102564102564102
1990_1992,Spectrum,2,0.907051282051282
1990_1992,Spectrum,3,0.9198717948717948
1990_1992,Spectrum,4,0.9038461538461539
1990_1992,Spectrum,5,0.9230769230769231
1990_1992,Spectrum,6,0.9006410256410257
1990_1992,Spectrum,7,0.9038461538461539
1990_1992,Spectrum,8,0.9134615384615384
1990_1992,Spectrum,9,0.907051282051282
1990_1992,Spectrum,10,0.9134615384615384
1990_1992,Spectrum,11,0.9166666666666666
1990_1992,Spectrum,12,0.9102564102564102
1990_1992,Spectrum,13,0.9326923076923077
1990_1992,Spectrum,14,0.9230769230769231
1990_1992,Spectrum,15,0.9166666666666666
1990_1992,Spectrum,16,0.9134615384615384
1990_1992,Spectrum,17,0.9198717948717948
1990_1992,Spectrum,18,0.9038461538461539
1990_1992,Spectrum,19,0.9134615384615384
1990_1992,Spectrum,20,0.9102564102564102
1990_1992,Spectrum,21,0.9230769230769231
1990_1992,Spectrum,22,0.9198717948717948
1990_1992,Spectrum,23,0.9134615384615384
1990_1992,Spectrum,24,0.9134615384615384
1990_1992,Spectrum,25,0.9102564102564102
1990_1992,Spectrum,26,0.9198717948717948
1990_1992,Spectrum,27,0.9134615384615384
1990_1992,Spectrum,28,0.9198717948717948
1990_1992,Spectrum,29,0.9198717948717948
1990_1992,Spectrum,30,0.9166666666666666
1990_1992,Spectrum,31,0.9134615384615384
1990_1992,Spectrum,32,0.9198717948717948
1990_1992,Spectrum,33,0.9102564102564102
1990_1992,Spectrum,34,0.9230769230769231
1990_1992,Spectrum,35,0.9166666666666666
1990_1992,Spectrum,36,0.9166666666666666
1990_1992,Spectrum,37,0.9166666666666666
1990_1992,Spectrum,38,0.9198717948717948
1990_1992,Spectrum,39,0.9166666666666666
1990_1992,Spectrum,40,0.9230769230769231
1990_1992,Spectrum,41,0.9134615384615384
1990_1992,Spectrum,42,0.9230769230769231
1990_1992,Spectrum,43,0.9166666666666666
1990_1992,Spectrum,44,0.9198717948717948
1990_1992,Spectrum,45,0.9198717948717948
1990_1992,Spectrum,46,0.9166666666666666
1990_1992,Spectrum,47,0.9102564102564102
1990_1992,Spectrum,48,0.9230769230769231
1990_1992,Spectrum,49,0.9198717948717948
1990_1992,Spectrum,50,0.9166666666666666
1990_1992,Spectrum,51,0.9198717948717948
1990_1992,Spectrum,52,0.9230769230769231
1990_1992,Spectrum,53,0.9198717948717948
1990_1992,Spectrum,54,0.9166666666666666
1990_1992,Spectrum,55,0.9230769230769231
1990_1992,Spectrum,56,0.9166666666666666
1990_1992,Spectrum,57,0.9198717948717948
1990_1992,Spectrum,58,0.9198717948717948
1990_1992,Spectrum,59,0.9166666666666666
1990_1992,Spectrum,60,0.9198717948717948
