system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
000000000000000014b5,27,28,34,59,84,189,52,0,4174,17,955,-136,40,4,-101,56,-3,-2,-7,1545,120,18,40,75,-131,-1,-6,15,1825,-114,17,23,-123,51,10,-6,28.269815,244.33333,0.076667786,58424.0,0.0036053339,190.25,271.37332,2.0099971,"{""type"":""Point"",""coordinates"":[99.52313569926707,32.43326705313754]}"
0000000000000000017d,40,37,38,35,26,173,22,0,4976,1,143,-2,-6,14,6,11,-1,0,-26,404,-47,148,124,-113,-4,30,-2,0,38,0,-7,10,6,8,-3,0,9.4233885,233.91667,0.076667786,56636.0,0.0038166672,225.0,271.63998,3.2179973,"{""type"":""Point"",""coordinates"":[88.92741977606899,27.86263942324393]}"
0000000000000000015a,29,32,34,64,83,191,57,0,5163,4,-581,-101,22,3,-45,35,-12,2,-28,-4807,-154,24,58,-64,-11,-6,18,3,-804,-118,37,1,-47,35,-18,3,21.177748,233.66667,0.076667786,54868.0,0.0032713339,210.16667,270.27664,1.3039973,"{""type"":""Point"",""coordinates"":[93.61123276800221,31.294385889481145]}"
000000000000000019dc,19,17,16,35,24,175,14,0,4416,14,-175,-93,-36,30,-80,65,5,1,-15,1168,-44,-33,5,7,-42,68,-5,14,-101,-95,-80,45,-146,61,8,1,32.539597,262.75,0.076667786,63092.0,0.0042670006,205.66667,277.17334,1.8359972,"{""type"":""Point"",""coordinates"":[100.10874944061612,30.37944969893091]}"
000000000000000014f4,24,23,25,42,54,191,40,0,4015,15,-121,-135,36,17,-102,84,-24,1,-6,-1494,141,40,-15,51,-114,49,5,16,-143,-157,49,14,-138,89,-23,1,34.56742,246.25,0.076667786,58486.0,0.0035410004,211.41667,273.80667,1.1926639,"{""type"":""Point"",""coordinates"":[94.61294752415354,31.176616571558586]}"
000000000000000009fb,15,12,9,26,14,182,6,0,3379,16,255,-18,40,-13,-17,11,-20,0,-22,-1275,-23,-42,12,20,-14,-10,4,21,444,98,51,-33,0,-14,-16,0,38.936375,268.58334,0.076667786,63894.0,0.0046860008,193.83333,277.60666,2.3193305,"{""type"":""Point"",""coordinates"":[100.18393880257932,27.962893392228555]}"
0000000000000000170e,22,20,17,46,29,193,16,0,1657,27,1330,0,-19,33,-76,15,-23,-4,-18,214,44,-11,3,62,17,-29,-1,29,2036,40,-16,28,-87,-8,-14,-6,16.029352,341.0,0.076667786,83818.0,0.008656334,202.33333,291.41333,1.6759973,"{""type"":""Point"",""coordinates"":[101.70146453218906,26.097990313252208]}"
000000000000000015a8,25,27,31,54,75,187,43,0,3480,26,89,-264,71,-2,-109,83,-8,0,-4,-3044,151,-95,48,146,-82,41,12,27,-3,-252,35,-3,-128,90,-4,1,5.6557484,262.33334,0.076667786,66558.0,0.0053973338,194.91667,275.95667,2.544664,"{""type"":""Point"",""coordinates"":[102.56142000675032,33.17168526938607]}"
000000000000000004cf,46,36,33,31,10,162,8,0,4754,1,-1321,-120,40,13,8,23,18,5,-30,-424,-236,37,37,-44,108,112,0,1,-672,-103,16,-11,-5,26,15,2,30.666151,239.66667,0.076667786,57371.332,0.0033853338,189.0,270.09332,1.9733305,"{""type"":""Point"",""coordinates"":[98.9348331199828,32.66476574342825]}"
00000000000000000732,25,25,28,43,67,181,49,0,4638,5,113,-2,17,2,-28,-5,-22,0,-17,-173,78,47,85,-141,-105,-15,0,4,1007,18,30,-6,-36,-20,-26,-3,29.961317,255.75,0.076667786,59519.332,0.004089667,187.25,273.81332,1.3193306,"{""type"":""Point"",""coordinates"":[93.97559037418031,29.42597795707679]}"
