system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000000bdb,29,26,21,64,45,198,21,0,133,-3661,-201,-14,-35,-58,116,-45,18,21,2,7,-2368,0,-72,-58,67,-103,4,10,-3084,-117,-34,-21,-38,97,-28,15,4.307194,350.83334,0.09666778,100060.0,0.008893667,138.0,288.78333,1.6899972,"{""type"":""Point"",""coordinates"":[112.77688162851476,32.691444545031004]}"
00000000000000000c20,33,29,28,45,32,199,21,0,170,242,-95,-37,22,3,37,-26,0,16,3,4,142,107,32,-30,-13,-37,53,-1,-786,-85,-44,21,21,32,-28,4,5.547545,343.5,0.10416778,98370.0,0.008352,138.0,287.6133,1.8126639,"{""type"":""Point"",""coordinates"":[113.09246112826924,32.49228771468095]}"
00000000000000000ec8,28,23,18,42,32,195,14,0,213,-1065,-203,15,59,29,-18,-20,6,23,0,10,16,78,-25,-32,21,16,14,0,-2593,-152,-7,49,25,-5,-31,13,13.455922,344.16666,0.11166778,99179.336,0.008429667,139.0,287.77335,1.9793305,"{""type"":""Point"",""coordinates"":[113.21777524517422,32.44593535923038]}"
00000000000000000c2a,29,24,19,64,44,194,19,0,499,-1376,-266,-4,27,-3,-73,56,8,41,0,25,-2353,164,-6,-85,30,69,80,10,-2092,-176,-52,12,12,-54,32,11,30.21163,343.83334,0.11083445,99250.0,0.008410334,139.0,287.72,1.9673306,"{""type"":""Point"",""coordinates"":[113.29107840739184,32.50333736709139]}"
00000000000000001268,34,34,33,67,57,200,34,0,171,-679,-137,-24,6,21,60,-72,4,23,7,10,-700,36,6,-43,-4,-33,39,2,-1654,-109,-54,0,42,48,-57,8,2.199942,343.83334,0.11083445,99250.0,0.008410334,139.0,287.72,1.9673306,"{""type"":""Point"",""coordinates"":[113.206993138827,32.56505132567108]}"
0000000000000000183a,32,27,24,72,49,200,23,0,31,1382,-100,-113,52,81,93,-108,-5,30,3,14,-399,75,82,-50,-81,-57,51,1,737,-82,-84,35,64,57,-67,-2,2.9916759,351.83334,0.11666778,100959.336,0.009744,139.0,288.79666,2.6319973,"{""type"":""Point"",""coordinates"":[115.45430872414688,33.04448495273547]}"
00000000000000001845,35,31,25,66,50,199,26,0,34,1290,-134,-83,40,80,126,-181,-4,32,3,15,-464,75,70,-51,-84,-78,70,1,706,-99,-54,29,73,83,-104,-2,2.3982458,351.83334,0.11666778,100959.336,0.009744,139.0,288.79666,2.6319973,"{""type"":""Point"",""coordinates"":[115.4920371781601,33.05364394629926]}"
00000000000000001430,31,27,24,58,42,194,22,0,144,-1496,-182,5,-15,-12,25,-12,8,22,2,10,-37,104,14,-16,12,-2,-3,0,-1931,-147,-14,-4,-7,13,-13,10,9.453792,343.58334,0.12083445,99592.664,0.008429334,140.0,287.74,2.2526639,"{""type"":""Point"",""coordinates"":[113.518528233926,32.417098352717744]}"
00000000000000001848,30,24,20,56,34,197,17,0,34,1081,-179,-28,36,-6,10,-35,-3,25,4,11,85,102,19,-38,-26,37,-41,-1,575,-173,-14,7,-16,16,-47,-1,1.4449482,350.91666,0.11166778,100945.336,0.009684667,140.0,288.73666,2.658664,"{""type"":""Point"",""coordinates"":[115.56264704334139,33.1970174224707]}"
000000000000000010e6,40,41,44,64,74,201,63,0,193,-1035,-121,9,-6,-54,92,-65,5,20,15,8,-982,78,-52,-30,56,-47,56,4,-2091,-90,-16,-16,-47,86,-39,10,6.672515,345.33334,0.109167784,99117.336,0.008707001,140.0,287.96,2.0599973,"{""type"":""Point"",""coordinates"":[113.27140485354403,33.03882189439761]}"
