system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000016,40,203,199,33,29,29,56,54,39,31,0,1,67,27,523,-112,0,10,-40,-8,14,0,-12,-483,33,14,-16,29,16,-13,1,12,-783,-64,7,11,0,1,-34,3,2.1438625,364.16666,0.14000112,100278.0,0.009819334,128.25,290.11,1.8959972,"{""type"":""Point"",""coordinates"":[111.4345272246886,30.53198662776719]}"
1_00000000000000000018,40,206,202,35,36,40,62,59,38,34,0,1,57,22,672,-87,1,16,-41,14,1,-1,-14,-477,41,19,-7,35,-3,-7,1,11,-300,-49,7,0,-1,5,-12,1,4.3938417,364.5,0.14416778,100568.664,0.009995,130.33333,290.16666,1.9666638,"{""type"":""Point"",""coordinates"":[111.7110316219117,30.452752861148493]}"
1_00000000000000000020,43,193,191,37,30,28,35,25,21,30,0,1,36,18,60,-77,4,8,1,9,2,0,-15,545,9,-19,14,1,18,-10,-2,8,-91,-36,-6,7,0,3,-25,0,2.341145,367.33334,0.12750112,101138.664,0.010904,136.58333,290.69666,2.3319974,"{""type"":""Point"",""coordinates"":[112.89033899571865,30.4152919531985]}"
1_00000000000000000022,38,190,189,32,26,24,39,32,23,23,0,1,32,32,-146,-118,-8,11,-27,43,1,1,-19,-119,64,-9,21,-7,-24,-4,0,17,140,-56,-20,20,-33,17,-43,0,1.0754625,366.66666,0.13916779,101130.0,0.010972001,137.5,290.63333,2.1739974,"{""type"":""Point"",""coordinates"":[113.16010123214897,30.42310875734519]}"
1_00000000000000000026,40,199,196,34,30,29,53,44,33,29,0,1,29,28,71,-145,0,-22,-37,8,4,0,-19,-429,92,-34,-42,21,21,-2,1,13,1640,-52,-15,-14,-40,-4,-36,-5,0.0,364.58334,0.15833445,101176.0,0.010783001,139.25,290.37332,1.8846639,"{""type"":""Point"",""coordinates"":[113.79018112920296,30.55058107916005]}"
1_00000000000000000029,42,204,201,36,31,32,45,52,47,31,0,1,33,15,-1170,-75,5,8,-3,-3,12,4,-11,221,58,-82,-46,13,-3,-8,0,7,561,-24,-12,-2,-19,-7,-10,-1,1.8543341,364.91666,0.17666778,101145.336,0.010747334,138.66667,290.44333,1.9719973,"{""type"":""Point"",""coordinates"":[114.16854923089102,30.564056482543567]}"
1_0000000000000000002a,41,194,193,35,28,25,34,26,19,30,0,1,36,16,225,-96,1,10,-7,-16,-3,0,-24,-1716,12,10,5,-5,-3,24,5,6,170,-49,0,-3,-7,-21,-1,0,3.7188823,367.41666,0.20166779,100904.0,0.011054334,137.91667,290.84998,2.358664,"{""type"":""Point"",""coordinates"":[114.39384977071742,30.498030573245195]}"
1_0000000000000000002d,35,200,197,30,26,24,68,54,36,26,0,1,30,35,1220,-144,-12,16,-70,-25,-21,-3,-18,-1080,38,8,11,-21,20,47,3,17,259,-81,-39,2,-62,-16,7,0,1.8543341,370.0,0.20250112,101124.0,0.011407333,138.83333,291.37,2.600664,"{""type"":""Point"",""coordinates"":[114.74904392423072,30.505303367063362]}"
1_00000000000000000031,38,204,202,34,32,30,72,64,52,31,0,1,62,32,478,-152,9,8,-67,12,-17,0,-19,-582,31,9,21,-64,29,107,1,15,-658,-80,-19,-7,-79,13,39,3,5.361975,371.25,0.20666778,100946.664,0.011771667,141.16667,291.8033,2.822664,"{""type"":""Point"",""coordinates"":[115.28102359810892,30.418257255399038]}"
1_00000000000000000040,48,201,200,43,35,34,47,45,38,33,1,1,120,18,-305,-87,7,1,-37,-28,0,1,-14,-1449,16,45,11,34,47,-37,4,8,-837,-28,-7,-3,5,-3,-21,3,1.4222994,365.25,0.13250111,100290.664,0.010114334,127.5,290.21,1.9066639,"{""type"":""Point"",""coordinates"":[111.30301495731932,30.700420251858997]}"
